Input,Target
assunto colestase neonatal,ass=colestase neonatal%
assunto colheita de sangue,ass=colheita de sangue%
assunto hematoma,ass=hematoma%
assunto colostomias,ass=colostomias%
assunto competencias,ass=competencias%
assunto especialidade em reabilitacao,ass=especialidade em reabilitacao%
assunto formacao,ass=formacao%
assunto comportamento prosocial,ass=comportamento prosocial%
assunto compressao,ass=compressao%
assunto edema,ass=edema%
assunto ulceras de perna venosa,ass=ulceras de perna venosa%
assunto comunidade,ass=comunidade%
assunto cuidados de saude,ass=cuidados de saude%
assunto capacidade,ass=capacidade%
assunto doenca,ass=doenca%
assunto relacao enfermeirodoente,ass=relacao enfermeirodoente%
assunto cuidados paliativos,ass=cuidados paliativos%
assunto perturbacao psiquiatrica,ass=perturbacao psiquiatrica%
assunto coma,ass=coma%
assunto vivencias,ass=vivencias%
assunto interdisciplinaridade,ass=interdisciplinaridade%
assunto gestao de conflitos,ass=gestao de conflitos%
assunto sistemas de informacao,ass=sistemas de informacao%
assunto transmissao de mas noticias,ass=transmissao de mas noticias%
assunto morte,ass=morte%
assunto surdez,ass=surdez%
assunto relacao terapeutica,ass=relacao terapeutica%
assunto relacao de ajuda,ass=relacao de ajuda%
assunto doente agudo,ass=doente agudo%
assunto moribundo,ass=moribundo%
assunto doente hospitalizado,ass=doente hospitalizado%
assunto doente psicotico,ass=doente psicotico%
assunto escuta,ass=escuta%
assunto linguagem,ass=linguagem%
assunto textos de enfermagem,ass=textos de enfermagem%
assunto comunicacao nao verbal,ass=comunicacao nao verbal%
assunto pessoa,ass=pessoa%
assunto proxemica,ass=proxemica%
assunto cinesica,ass=cinesica%
assunto paralinguagem,ass=paralinguagem%
assunto saude publoca,ass=saude publoca%
assunto confianca,ass=confianca%
assunto conflito,ass=conflito%
assunto estrategias de negociacao,ass=estrategias de negociacao%
assunto tecnicas de negociacao,ass=tecnicas de negociacao%
assunto conflitos de equipa,ass=conflitos de equipa%
assunto organizacao da saude,ass=organizacao da saude%
assunto mediacao de conflitos,ass=mediacao de conflitos%
assunto cudiados de saude,ass=cudiados de saude%
assunto contracepcao hormonal oral,ass=contracepcao hormonal oral%
assunto controlo da infeccao,ass=controlo da infeccao%
assunto cuidados,ass=cuidados%
assunto controlo,ass=controlo%
assunto dentes,ass=dentes%
assunto enurese,ass=enurese%
assunto dor cronica,ass=dor cronica%
assunto processos de cuidados,ass=processos de cuidados%
assunto ajustamento social,ass=ajustamento social%
assunto lesao da medula espinhal,ass=lesao da medula espinhal%
assunto corpo,ass=corpo%
assunto imagem corporal,ass=imagem corporal%
assunto ser humano,ass=ser humano%
assunto aprendizagem,ass=aprendizagem%
assunto desenvolvimento infantil,ass=desenvolvimento infantil%
assunto choro,ass=choro%
assunto desenvolvimento emocional,ass=desenvolvimento emocional%
assunto comportamento,ass=comportamento%
assunto temperamento,ass=temperamento%
assunto crianca dificil,ass=crianca dificil%
assunto desenvolvimento da linguagem,ass=desenvolvimento da linguagem%
assunto desenvolvimento moral,ass=desenvolvimento moral%
assunto agressividade,ass=agressividade%
assunto disciplina,ass=disciplina%
assunto birras,ass=birras%
assunto bacio,ass=bacio%
assunto sono,ass=sono%
assunto autocontolo,ass=autocontolo%
assunto pensamento magico,ass=pensamento magico%
assunto imaginacao,ass=imaginacao%
assunto fantasia,ass=fantasia%
assunto rivalidade,ass=rivalidade%
assunto medos,ass=medos%
assunto pesadelos,ass=pesadelos%
assunto jogos,ass=jogos%
assunto mentira,ass=mentira%
assunto hiperactividade,ass=hiperactividade%
assunto vulnerabilidade,ass=vulnerabilidade%
assunto disturbios alimentares,ass=disturbios alimentares%
assunto atraso na fala,ass=atraso na fala%
assunto brinquedo,ass=brinquedo%
assunto divorcio,ass=divorcio%
assunto humor,ass=humor%
assunto perda,ass=perda%
assunto desgosto,ass=desgosto%
assunto seguranca,ass=seguranca%
assunto tarefas,ass=tarefas%
assunto mesada,ass=mesada%
assunto televisao,ass=televisao%
assunto tristeza,ass=tristeza%
assunto desenho,ass=desenho%
assunto imagem,ass=imagem%
assunto espiritualidade,ass=espiritualidade%
assunto legislacao,ass=legislacao%
assunto doenca cronica,ass=doenca cronica%
assunto cuidados continuados,ass=cuidados continuados%
assunto estado de saude,ass=estado de saude%
assunto bemestar,ass=bemestar%
assunto dificuldades,ass=dificuldades%
assunto necessidades,ass=necessidades%
assunto cuidadores informais,ass=cuidadores informais%
assunto apoio social,ass=apoio social%
assunto envelhecimento,ass=envelhecimento%
assunto cuidados atraumaticos,ass=cuidados atraumaticos%
assunto enfermagem pediatrica,ass=enfermagem pediatrica%
assunto hospitalizacao da crianca,ass=hospitalizacao da crianca%
assunto controlo da dor,ass=controlo da dor%
assunto estabelecimento prisional,ass=estabelecimento prisional%
assunto cuidar,ass=cuidar%
assunto fim de vida,ass=fim de vida%
assunto doente terminal,ass=doente terminal%
assunto continuidade de cuidados,ass=continuidade de cuidados%
assunto artroplastia de quadril,ass=artroplastia de quadril%
assunto respeito,ass=respeito%
assunto cuidados de higiene,ass=cuidados de higiene%
assunto cuidador,ass=cuidador%
assunto saude mundial,ass=saude mundial%
assunto organizacoes internacionais de saude,ass=organizacoes internacionais de saude%
assunto servicos de saude,ass=servicos de saude%
assunto politicas,ass=politicas%
assunto governo,ass=governo%
assunto cuidados de saude baseados na evidencia,ass=cuidados de saude baseados na evidencia%
assunto medicina baseada na evidencia,ass=medicina baseada na evidencia%
assunto papel do enfermeiro,ass=papel do enfermeiro%
assunto perfil do enfermeiro,ass=perfil do enfermeiro%
assunto indicadores de saude,ass=indicadores de saude%
assunto seguranca na comunidade,ass=seguranca na comunidade%
assunto politicas de saude,ass=politicas de saude%
assunto teorias de enfermagem,ass=teorias de enfermagem%
assunto conceito de saude,ass=conceito de saude%
assunto direito,ass=direito%
assunto lei,ass=lei%
assunto etica,ass=etica%
assunto confidencialidade,ass=confidencialidade%
assunto telecuidados,ass=telecuidados%
assunto responsabilidade juridica,ass=responsabilidade juridica%
assunto imputacao de responsabilidade,ass=imputacao de responsabilidade%
assunto documentacao,ass=documentacao%
assunto luto,ass=luto%
assunto experiencia,ass=experiencia%
assunto cuidados intensivos pediatricos,ass=cuidados intensivos pediatricos%
assunto tranporte interhospital,ass=tranporte interhospital%
assunto unidades de cuidados intensivos,ass=unidades de cuidados intensivos%
assunto instituto de s.joao de deus,ass=instituto de s.joao de deus%
assunto comunicacao de mas noticias,ass=comunicacao de mas noticias%
assunto qualidade de vida,ass=qualidade de vida%
assunto esperanca,ass=esperanca%
assunto fase terminal,ass=fase terminal%
assunto eutanasia,ass=eutanasia%
assunto hospital de rectaguarda,ass=hospital de rectaguarda%
assunto equipa de saude,ass=equipa de saude%
assunto abordagem multidisciplinar,ass=abordagem multidisciplinar%
assunto fases de kublerross,ass=fases de kublerross%
assunto intervencoes nao farmacologicas,ass=intervencoes nao farmacologicas%
assunto fim da vida,ass=fim da vida%
assunto controlo de sintomas,ass=controlo de sintomas%
assunto trabalho em equipa,ass=trabalho em equipa%
assunto mortalidade,ass=mortalidade%
assunto doenca terminal,ass=doenca terminal%
assunto doente dificil,ass=doente dificil%
assunto apoio a familia,ass=apoio a familia%
assunto cuidados espirituais,ass=cuidados espirituais%
assunto religiao,ass=religiao%
assunto analgesicos,ass=analgesicos%
assunto antiacidos,ass=antiacidos%
assunto corticosteroides,ass=corticosteroides%
assunto benzodiazepinas,ass=benzodiazepinas%
assunto diazepam,ass=diazepam%
assunto midazolam,ass=midazolam%
assunto haloperidol,ass=haloperidol%
assunto hioscina,ass=hioscina%
assunto antimuscarinicos,ass=antimuscarinicos%
assunto cuidados personalizados,ass=cuidados personalizados%
assunto investigacaoaccao,ass=investigacaoaccao%
assunto investigacao participativa,ass=investigacao participativa%
assunto multiculturalidade,ass=multiculturalidade%
assunto responsabilidade,ass=responsabilidade%
assunto privacidade,ass=privacidade%
assunto humanizacao,ass=humanizacao%
assunto cultura,ass=cultura%
assunto defice cognitivo,ass=defice cognitivo%
assunto defice de creatina,ass=defice de creatina%
assunto defice de gamt,ass=defice de gamt%
assunto definicao de enfermagem domiciliaria,ass=definicao de enfermagem domiciliaria%
assunto corpos de lewy,ass=corpos de lewy%
assunto demencia frontotemporal,ass=demencia frontotemporal%
assunto demencia vascular,ass=demencia vascular%
assunto deontologia,ass=deontologia%
assunto estudante de medicina,ass=estudante de medicina%
assunto traumatismo cranioencefalico,ass=traumatismo cranioencefalico%
assunto cuidados de saude primarios,ass=cuidados de saude primarios%
assunto utentes,ass=utentes%
assunto doenca coronariana,ass=doenca coronariana%
assunto desemprego,ass=desemprego%
assunto funcionalidade familiar,ass=funcionalidade familiar%
assunto toque,ass=toque%
assunto desbridamento enzimatico,ass=desbridamento enzimatico%
assunto descompressao orbitaria,ass=descompressao orbitaria%
assunto doenca de graves,ass=doenca de graves%
assunto cirurgia endoscopica nasosinusal,ass=cirurgia endoscopica nasosinusal%
assunto orbitopatia tiroideia,ass=orbitopatia tiroideia%
assunto desenvolvimento profissional,ass=desenvolvimento profissional%
assunto dia mundial do doente,ass=dia mundial do doente%
assunto diabetes,ass=diabetes%
assunto fisiologia da diabetes,ass=fisiologia da diabetes%
assunto complicacoes da diabetes,ass=complicacoes da diabetes%
assunto conhecimento,ass=conhecimento%
assunto relacao professionaldoente,ass=relacao professionaldoente%
assunto diabetes mellitus,ass=diabetes mellitus%
assunto diabetes mellitus tipo 1,ass=diabetes mellitus tipo 1%
assunto criancas,ass=criancas%
assunto adolescentes,ass=adolescentes%
assunto crontolo metabolico,ass=crontolo metabolico%
assunto monitorizacao continua da glucose,ass=monitorizacao continua da glucose%
assunto educacao para a saude,ass=educacao para a saude%
assunto diabetes tipo i,ass=diabetes tipo i%
assunto grounded theory,ass=grounded theory%
assunto dialise peritoneal,ass=dialise peritoneal%
assunto cateter peritoneal,ass=cateter peritoneal%
assunto dignidade humana,ass=dignidade humana%
assunto direito em saude,ass=direito em saude%
assunto direitos humanos,ass=direitos humanos%
assunto acesso aos cuidados de saude,ass=acesso aos cuidados de saude%
assunto discernimento,ass=discernimento%
assunto inteligencia emocional,ass=inteligencia emocional%
assunto discite,ass=discite%
assunto espondilodiscite,ass=espondilodiscite%
assunto marcha,ass=marcha%
assunto lombalgia,ass=lombalgia%
assunto discrepancias do eu,ass=discrepancias do eu%
assunto personalidade,ass=personalidade%
assunto emocao,ass=emocao%
assunto psicoterapia,ass=psicoterapia%
assunto mcmi,ass=mcmi%
assunto disfagia,ass=disfagia%
assunto degluticao,ass=degluticao%
assunto disfuncao urinaria,ass=disfuncao urinaria%
assunto prevalencia da disfuncao urinaria,ass=prevalencia da disfuncao urinaria%
assunto fisiologia do tracto urinario,ass=fisiologia do tracto urinario%
assunto alteracoes da miccao,ass=alteracoes da miccao%
assunto incontinencia urinaria,ass=incontinencia urinaria%
assunto distribuicao de farmacos,ass=distribuicao de farmacos%
assunto farmacocinetica,ass=farmacocinetica%
assunto diversificacao alimentar,ass=diversificacao alimentar%
assunto introducao de novos alimentos,ass=introducao de novos alimentos%
assunto doenca bipolar,ass=doenca bipolar%
assunto mania,ass=mania%
assunto doenca de alzheimer,ass=doenca de alzheimer%
assunto cafeina,ass=cafeina%
assunto doenca de cronh,ass=doenca de cronh%
assunto ostomia,ass=ostomia%
assunto doenca de lyme,ass=doenca de lyme%
assunto carraca,ass=carraca%
assunto doenca de parkinson,ass=doenca de parkinson%
assunto estado terminal,ass=estado terminal%
assunto doenca infecciosa grave,ass=doenca infecciosa grave%
assunto doenca mental,ass=doenca mental%
assunto esquizofrenia,ass=esquizofrenia%
assunto visita domiciliaria,ass=visita domiciliaria%
assunto transtornos mentais,ass=transtornos mentais%
assunto atitude,ass=atitude%
assunto representacao social,ass=representacao social%
assunto doenca parkinson,ass=doenca parkinson%
assunto doente neurocirurgico,ass=doente neurocirurgico%
assunto neuroestimulador,ass=neuroestimulador%
assunto doenca pulmonar cronica obstrutiva,ass=doenca pulmonar cronica obstrutiva%
assunto dpco,ass=dpco%
assunto epidemiologia,ass=epidemiologia%
assunto fisiopatologia da dpco,ass=fisiopatologia da dpco%
assunto etiologia,ass=etiologia%
assunto reabilitacao pulmonar,ass=reabilitacao pulmonar%
assunto cinesiterapia,ass=cinesiterapia%
assunto terapia nutricional,ass=terapia nutricional%
assunto ensino,ass=ensino%
assunto oxigenioterapia,ass=oxigenioterapia%
assunto doenca pulmonar obstrutiva cronica dpco,ass=doenca pulmonar obstrutiva cronica dpco%
assunto programa de reabilitacao respiratoria,ass=programa de reabilitacao respiratoria%
assunto processo de cuidados de enfermagem,ass=processo de cuidados de enfermagem%
assunto redes de apoio,ass=redes de apoio%
assunto necessidades espirituais,ass=necessidades espirituais%
assunto adaptacao do domicilio,ass=adaptacao do domicilio%
assunto cuidados fisicos,ass=cuidados fisicos%
assunto controlo das infeccoes,ass=controlo das infeccoes%
assunto banho,ass=banho%
assunto higiene oral,ass=higiene oral%
assunto posicionamento,ass=posicionamento%
assunto dispneia,ass=dispneia%
assunto nauseas,ass=nauseas%
assunto vomitos,ass=vomitos%
assunto disturbio do sono,ass=disturbio do sono%
assunto fadiga,ass=fadiga%
assunto confusao mental,ass=confusao mental%
assunto morrer em casa,ass=morrer em casa%
assunto doencas contagiosas,ass=doencas contagiosas%
assunto vacinacao,ass=vacinacao%
assunto virus,ass=virus%
assunto doencas do ciclo da ureia,ass=doencas do ciclo da ureia%
assunto amonia,ass=amonia%
assunto hiperamoniemia,ass=hiperamoniemia%
assunto dieta hipoproteica,ass=dieta hipoproteica%
assunto tratamento nutricional,ass=tratamento nutricional%
assunto avaliacao do estado nutricional,ass=avaliacao do estado nutricional%
assunto doencas malignas,ass=doencas malignas%
assunto manifestacoes musculoesqueletica,ass=manifestacoes musculoesqueletica%
assunto artralgia,ass=artralgia%
assunto artrite,ass=artrite%
assunto doe ossea,ass=doe ossea%
assunto neoplasia,ass=neoplasia%
assunto adolescente,ass=adolescente%
assunto doencas sexualmente transmissiveis,ass=doencas sexualmente transmissiveis%
assunto impacto socialeconomico,ass=impacto socialeconomico%
assunto intervencoes do servico de saude,ass=intervencoes do servico de saude%
assunto iatrogenia,ass=iatrogenia%
assunto oncologia,ass=oncologia%
assunto artrite idiopatica,ass=artrite idiopatica%
assunto avaliacao da dor,ass=avaliacao da dor%
assunto deficiencia cognitiva,ass=deficiencia cognitiva%
assunto limitacao verbal,ass=limitacao verbal%
assunto escala douleur enfant san salvadour dess,ass=escala douleur enfant san salvadour dess%
assunto praticalidade,ass=praticalidade%
assunto dor lombar,ass=dor lombar%
assunto fisioterapia,ass=fisioterapia%
assunto ambulatorio,ass=ambulatorio%
assunto efectividade dos cuidados,ass=efectividade dos cuidados%
assunto dor toracica,ass=dor toracica%
assunto centro de dor toracica,ass=centro de dor toracica%
assunto ciencias da educacao,ass=ciencias da educacao%
assunto pratica educativa,ass=pratica educativa%
assunto educacao de enfermagem,ass=educacao de enfermagem%
assunto historia de enfermagem,ass=historia de enfermagem%
assunto educacao do cuidador,ass=educacao do cuidador%
assunto educacao em enfermagem,ass=educacao em enfermagem%
assunto revisao sistematica,ass=revisao sistematica%
assunto qualidade em enfermagem,ass=qualidade em enfermagem%
assunto padroes de qualidade em enfermagem,ass=padroes de qualidade em enfermagem%
assunto educacao nutricional,ass=educacao nutricional%
assunto dieta,ass=dieta%
assunto hemodialise,ass=hemodialise%
assunto saude sexual,ass=saude sexual%
assunto saude reprodutiva,ass=saude reprodutiva%
assunto doenca cardiovascular,ass=doenca cardiovascular%
assunto dst,ass=dst%
assunto idosos,ass=idosos%
assunto doente,ass=doente%
assunto informacao,ass=informacao%
assunto educacao terapeutica,ass=educacao terapeutica%
assunto insuficiencia cardiaca,ass=insuficiencia cardiaca%
assunto efectividade,ass=efectividade%
assunto electroconvulsoterapia,ass=electroconvulsoterapia%
assunto empowerment,ass=empowerment%
assunto cuidados enfermagem,ass=cuidados enfermagem%
assunto encefalo,ass=encefalo%
assunto encontro nacional de estudantes de enfermagem,ass=encontro nacional de estudantes de enfermagem%
assunto erro clinico,ass=erro clinico%
assunto processo de  enfermagem,ass=processo de  enfermagem%
assunto unidade de cuidados intensivos,ass=unidade de cuidados intensivos%
assunto escolas de enfermagem,ass=escolas de enfermagem%
assunto modelos,ass=modelos%
assunto deontologia profissional,ass=deontologia profissional%
